"major","minor","cumulative_version"
4,0,4
8,8,8.9
6,0,6
2,3,2.35
7,6,7.6
5,1,5.15
5,9,5.9
5,2,5.2
11,3,11.35
3,4,3.5
9,9,10
10,0,10.05
7,8,7.9
10,5,10.6
6,6,6.7
10,1,10.15
1,8,1.85
8,1,8.15
3,5,3.65
1,6,1.65
11,1,11.1
10,3,10.35
9,2,9.25
4,5,4.6
8,7,8.8
9,0,9.05
10,9,11
8,5,8.6
2,4,2.5
4,1,4.15
9,7,9.8
9,5,9.6
5,0,5.05
8,3,8.3
3,2,3.25
3,6,3.7
6,9,7
6,2,6.2
8,6,8.7
7,9,8
10,6,10.7
4,7,4.8
4,3,4.35
3,8,3.9
1,4,1.4
1,7,1.75
2,1,2.15
2,2,2.25
2,7,2.85
4,2,4.25
10,2,10.2
11,2,11.25
10,7,10.8
7,5,7.55
3,0,3
11,5,11.55
8,4,8.5
5,6,5.65
9,8,9.9
11,6,11.65
2,5,2.6
3,9,3.95
1,5,1.5
9,1,9.15
7,1,7.15
3,1,3.1
9,6,9.7
4,8,4.9
5,7,5.7
2,6,2.7
7,4,7.5
1,3,1.3
8,0,8.05
7,2,7.25
6,4,6.5
2,9,2.95
11,4,11.5
6,7,6.8
10,8,10.9
5,5,5.5
8,2,8.2
1,2,1.2
5,3,5.3
11,0,11.05
7,0,7.05
